aX,aY,aZ,gX,gY,gZ
0.49,-0.16,0.96,71.35,-57.8,12.33
0.54,-0.15,1.11,57.01,-65.98,28.44
0.52,-0.11,1.22,39.43,-66.59,49.87
0.49,0.01,1.15,20.14,-52.43,73.3
0.51,0.12,1.07,5.0,-40.89,88.81
0.51,0.22,1.12,-2.14,-38.39,96.56
0.51,0.33,1.2,-2.56,-33.2,99.98
0.52,0.39,1.24,-1.59,-19.65,97.17
0.51,0.41,1.25,1.28,-4.52,91.13
0.53,0.42,1.29,5.55,6.41,84.59
0.55,0.39,1.38,1.95,13.12,79.22
0.55,0.37,1.47,-8.36,21.18,77.51
0.54,0.4,1.48,-16.78,32.53,81.05
0.57,0.45,1.48,-21.67,40.89,88.26
0.58,0.58,1.59,-23.13,41.69,97.53
0.55,0.76,1.71,-23.07,42.79,105.35
0.53,0.93,1.81,-27.59,49.38,106.26
0.52,1.0,1.95,-38.7,55.85,99.73
0.46,1.02,2.03,-55.18,68.12,88.81
0.38,1.05,1.98,-66.04,89.17,78.92
0.31,1.11,1.88,-72.75,109.07,69.89
0.27,1.19,1.79,-74.1,122.25,60.49
0.28,1.21,1.87,-62.99,126.95,51.27
0.25,1.17,1.88,-63.23,132.69,42.6
0.19,1.15,1.72,-76.29,144.47,37.05
0.1,1.12,1.51,-88.93,154.11,33.57
0.07,1.17,1.32,-101.44,157.9,30.76
0.05,1.27,1.24,-107.48,154.48,25.45
0.02,1.35,1.24,-106.51,149.84,13.73
-0.05,1.35,1.24,-108.89,150.15,-5.8
-0.12,1.32,1.11,-110.6,157.29,-26.98
-0.15,1.27,0.97,-106.69,162.9,-48.03
-0.18,1.23,0.89,-104.8,160.16,-65.98
-0.22,1.17,0.81,-103.15,157.59,-82.58
-0.26,1.15,0.68,-104.49,158.57,-96.5
-0.28,1.13,0.59,-107.12,154.91,-109.62
-0.31,1.05,0.48,-106.14,151.49,-124.39
-0.36,1.01,0.35,-103.39,149.78,-135.07
-0.4,0.99,0.25,-103.7,143.68,-144.41
-0.43,1.01,0.21,-106.2,135.13,-153.99
-0.47,1.05,0.14,-103.21,128.11,-164.0
-0.52,1.04,0.02,-96.92,123.47,-178.04
-0.55,1.01,-0.05,-93.32,112.18,-195.01
-0.57,0.92,-0.06,-93.02,95.03,-214.23
-0.6,0.82,-0.12,-94.36,79.96,-232.91
-0.59,0.68,-0.18,-96.8,65.92,-249.57
-0.63,0.48,-0.24,-97.84,52.06,-262.51
-0.67,0.42,-0.4,-95.09,41.69,-267.88
-0.71,0.43,-0.59,-91.43,25.82,-270.81
-0.78,0.41,-0.68,-84.29,2.2,-282.35
-0.85,0.36,-0.63,-76.84,-25.82,-299.44
-0.92,0.35,-0.54,-75.87,-51.09,-317.26
-0.97,0.31,-0.42,-78.43,-72.08,-334.41
-0.99,0.15,-0.33,-86.55,-91.37,-351.32
-0.98,-0.09,-0.23,-99.67,-111.39,-361.63
-0.96,-0.27,-0.11,-112.49,-133.06,-360.78
-0.96,-0.37,-0.09,-128.17,-150.09,-352.91
-1.0,-0.47,-0.2,-143.98,-161.07,-350.34
-1.05,-0.53,-0.27,-151.18,-178.34,-362.43
-1.14,-0.58,-0.2,-161.62,-205.57,-391.3
-1.17,-0.65,-0.14,-167.11,-224.73,-433.72
-1.18,-1.04,-0.01,-163.7,-240.3,-481.2
-1.13,-1.73,0.45,-167.18,-250.61,-403.99
-0.86,-1.12,0.61,-145.26,-247.68,-263.79
-0.76,-0.94,0.67,-121.15,-232.6,-224.0
-0.84,-0.87,0.69,-119.2,-222.72,-215.52
-0.84,-0.92,0.61,-135.44,-217.04,-209.9
-0.79,-1.09,0.73,-148.68,-223.02,-207.21
-0.74,-1.28,0.98,-157.84,-238.77,-201.05
-0.68,-1.36,1.17,-171.14,-239.32,-183.04
-0.57,-1.29,1.27,-172.42,-226.68,-153.63
-0.53,-1.14,1.28,-169.37,-210.69,-125.12
-0.48,-1.01,1.13,-173.22,-192.14,-102.91
-0.38,-0.95,1.04,-181.21,-185.12,-82.95
-0.46,-0.95,1.08,-191.77,-190.98,-62.19
-0.64,-0.86,1.01,-200.81,-190.86,-37.48
-0.72,-0.76,0.94,-207.21,-189.7,-16.24
-0.69,-0.82,1.24,-204.65,-205.32,-5.62
-0.57,-1.0,1.76,-176.94,-230.41,0.12
-0.56,-1.26,2.17,-144.9,-232.06,9.95
-0.53,-1.42,2.23,-143.25,-191.28,35.58
-0.48,-1.34,2.18,-152.04,-148.93,79.35
-0.43,-1.15,2.18,-164.55,-124.63,124.27
-0.41,-0.95,2.13,-183.41,-100.16,161.62
-0.42,-0.74,2.01,-198.12,-72.08,190.98
-0.44,-0.53,1.83,-210.02,-43.88,213.26
-0.47,-0.38,1.56,-218.32,-17.88,229.13
-0.5,-0.34,1.3,-226.32,0.49,238.4
-0.47,-0.38,1.14,-228.21,6.35,244.32
-0.43,-0.44,1.04,-221.68,6.35,251.04
-0.4,-0.46,1.08,-199.89,2.32,263.43
-0.35,-0.42,1.28,-173.1,-3.85,280.94
-0.29,-0.35,1.5,-144.1,-4.33,300.54
-0.26,-0.26,1.7,-123.66,5.55,321.41
-0.29,0.0,1.71,-126.59,32.9,345.15
-0.32,0.13,1.56,-174.62,67.32,348.33
-0.41,0.17,1.26,-207.4,101.44,347.11
-0.05,0.06,0.71,-211.85,120.67,351.44
-0.62,0.23,1.3,-274.84,88.75,357.67
-0.36,0.33,1.5,-274.29,89.48,353.15
-0.46,0.52,1.65,-280.88,133.97,360.47
-0.33,0.61,1.72,-288.02,175.66,377.62
-0.45,0.55,2.2,-334.05,223.63,397.16
-1.13,0.81,2.7,-364.81,316.22,429.93
-1.22,1.35,1.44,-331.54,510.99,471.56
-1.02,1.82,0.42,-269.17,558.47,464.78
-1.28,2.37,1.08,-177.49,411.93,455.63
-1.4,2.27,1.25,-78.92,354.19,387.57
-1.62,2.22,1.07,-43.95,357.85,334.72
-1.65,2.38,0.6,-58.41,374.51,317.08
-1.47,2.43,0.25,-77.27,369.63,275.02
-1.42,2.2,0.41,-56.88,333.74,221.68
-1.17,1.96,0.36,-46.63,309.02,184.27
-1.01,1.71,0.59,-92.16,269.23,158.02
-0.91,1.39,0.92,-131.84,236.27,135.56
-0.97,1.13,1.07,-150.15,239.75,126.4
-0.85,0.94,0.76,-139.77,266.97,118.84
-0.82,1.11,0.49,-92.83,275.57,129.7
-0.85,1.46,0.56,-36.32,245.61,147.22
-0.86,1.74,0.7,-15.5,213.26,141.54
-0.81,1.98,0.68,-17.58,199.65,115.6
-0.73,2.04,0.55,-29.72,189.64,72.94
-0.61,1.84,0.53,-44.68,166.26,17.82
-0.56,1.55,0.73,-50.78,134.7,-28.56
-0.5,1.21,0.95,-53.59,112.92,-62.62
-0.44,0.81,1.15,-56.46,103.76,-93.26
-0.45,0.54,1.24,-60.73,114.44,-106.51
-0.48,0.44,1.04,-57.92,149.05,-88.93
-0.45,0.82,0.72,-46.51,182.01,-38.27
-0.47,1.23,0.45,-37.23,187.87,-11.54
-0.47,1.5,0.44,-32.47,161.68,-17.94
-0.5,1.55,0.47,-44.98,131.84,-38.76
-0.51,1.45,0.37,-66.96,118.1,-69.46
-0.56,1.33,0.34,-83.13,104.98,-94.54
-0.59,1.25,0.26,-91.55,91.25,-112.73
-0.53,1.2,0.22,-89.72,72.02,-127.75
-0.56,1.24,0.39,-80.2,43.7,-140.32
-0.5,1.32,0.5,-75.01,31.01,-150.51
-0.45,1.29,0.38,-75.5,36.56,-162.41
-0.44,1.22,0.37,-68.05,35.4,-179.26
-0.41,1.13,0.41,-47.12,31.62,-193.73
-0.37,1.07,0.24,-35.83,35.95,-207.7
-0.34,0.9,0.18,-32.41,31.49,-221.25
-0.27,0.72,0.23,-34.48,20.63,-230.35
-0.22,0.58,0.16,-37.9,17.88,-231.87
-0.2,0.51,0.06,-31.74,13.49,-229.8
-0.18,0.52,0.18,-17.4,2.44,-226.2
-0.19,0.55,0.13,-0.67,2.5,-222.96
-0.2,0.56,-0.07,6.71,10.8,-222.05
-0.2,0.62,-0.1,8.61,1.83,-220.28
-0.17,0.67,-0.03,10.99,-13.06,-221.13
-0.14,0.68,0.05,16.36,-20.2,-228.27
-0.12,0.62,0.22,19.78,-28.32,-238.22
-0.02,0.34,0.38,10.19,-34.0,-251.04
0.08,0.02,0.41,-4.46,-28.02,-257.39
0.1,-0.11,0.36,-6.77,-17.46,-249.15
0.1,-0.09,0.29,-1.34,-5.43,-232.48
0.11,-0.06,0.24,13.24,8.24,-221.25
0.13,0.03,0.19,29.85,23.32,-212.71
0.13,0.03,0.1,36.01,34.73,-209.59
0.12,0.05,-0.07,30.64,44.43,-206.48
0.08,0.13,-0.25,23.32,45.9,-201.35
0.06,0.18,-0.37,15.32,35.22,-202.76
0.06,0.17,-0.39,1.4,14.77,-211.3
0.05,0.01,-0.3,-13.98,-10.93,-224.06
0.13,-0.18,-0.11,-32.65,-37.84,-235.35
0.21,-0.44,0.06,-44.56,-54.81,-242.0
0.28,-0.65,0.24,-43.52,-58.11,-241.88
0.3,-0.74,0.39,-27.83,-51.76,-232.54
0.28,-0.68,0.34,-16.24,-32.41,-204.22
0.26,-0.33,0.14,-9.16,-11.29,-165.41
0.18,-0.1,0.05,-13.37,-5.62,-150.63
0.06,-0.0,-0.06,-30.52,-11.17,-161.93
-0.03,0.04,-0.11,-48.65,-28.87,-180.85
-0.17,0.05,-0.08,-64.64,-54.26,-203.49
-0.07,0.01,-0.16,-83.56,-77.39,-227.29
-0.18,-0.29,0.16,-98.14,-114.56,-253.23
-0.11,-0.71,0.48,-101.87,-139.4,-278.93
0.01,-0.93,0.56,-93.75,-135.68,-292.42
0.02,-1.08,0.5,-90.45,-117.8,-296.2
-0.03,-1.09,0.38,-88.07,-105.22,-280.27
-0.08,-0.92,0.2,-88.93,-97.41,-236.69
-0.1,-0.4,0.15,-90.52,-105.1,-171.87
-0.03,-0.07,0.27,-85.45,-123.41,-150.51
-0.11,-0.19,0.52,-97.72,-134.34,-167.36
-0.41,-0.27,0.4,-138.73,-124.63,-174.07
-0.33,-0.07,0.16,-148.68,-106.69,-174.87
-0.36,-0.13,0.17,-166.99,-119.14,-195.43
-0.29,-0.35,0.28,-177.67,-140.62,-225.89
-0.22,-0.59,0.44,-172.24,-162.11,-249.02
-0.21,-0.79,0.45,-159.36,-172.0,-257.57
-0.3,-0.94,0.51,-145.32,-179.57,-248.35
-0.32,-0.91,0.65,-132.2,-186.71,-222.11
-0.3,-0.76,0.72,-147.58,-180.05,-194.27
-0.31,-0.7,0.7,-182.31,-167.05,-177.43
-0.37,-0.67,0.7,-207.4,-161.25,-168.09
-0.21,-0.71,0.58,-200.2,-162.54,-161.44
-0.42,-0.87,0.73,-164.79,-177.67,-153.08
-0.22,-0.83,0.8,-138.98,-189.88,-135.13
-0.44,-1.14,0.78,-180.79,-186.89,-134.28
-0.71,-1.33,1.08,-170.35,-210.14,-111.45
-0.48,-1.38,1.34,-83.8,-206.97,-80.69
-0.23,-1.5,1.08,-91.67,-161.19,-56.7
-0.42,-1.38,1.02,-102.84,-150.57,-12.27
-0.6,-1.27,1.1,-72.33,-161.8,28.56
-0.67,-1.11,1.24,-25.82,-166.08,62.01
-0.66,-0.98,1.38,-12.57,-158.57,86.79
-0.67,-1.0,1.33,-41.56,-128.54,98.57
-0.71,-1.04,1.21,-65.73,-98.94,112.3
-0.74,-1.03,1.14,-73.61,-93.02,132.2
-0.35,-0.95,1.16,-74.4,-103.45,152.71
-0.51,-1.11,0.92,-37.23,-126.1,167.48
-0.9,-1.07,1.33,-92.71,-167.11,187.87
-0.83,-1.04,2.18,-80.14,-226.62,211.79
-0.85,-0.94,2.03,-104.68,-142.09,236.33
-0.92,-0.82,1.43,-97.17,-69.95,257.57
-0.8,-0.58,0.99,-94.06,-48.03,267.33
-0.79,-0.48,0.95,-132.93,-61.83,260.19
